Geneid	Chr	Start	End	Strand	Length	AC2R1
Gene_000164	Random_Chr_001	358851	364010	+	5159	2255
Gene_000165	Random_Chr_001	365617	366965	+	1348	855
Gene_000166	Random_Chr_001	367047	367409	-	362	796
Gene_000167	Random_Chr_001	367996	369312	-	1316	100
Gene_000168	Random_Chr_001	369517	369895	-	378	12
Gene_000169	Random_Chr_001	370143	372008	+	1865	3164
Gene_000170	Random_Chr_001	373150	374778	-	1628	1484
Gene_000171	Random_Chr_001	376339	377228	+	889	1114
Gene_000172	Random_Chr_001	377347	379177	+	1830	459
Gene_000173	Random_Chr_001	381194	385041	-	3847	2190
Gene_000174	Random_Chr_001	385518	385708	+	190	545
Gene_000175	Random_Chr_001	386146	389776	+	3630	1961
Gene_000176	Random_Chr_001	390568	391890	-	1322	846
Gene_000177	Random_Chr_001	392575	392781	+	206	0
Gene_000178	Random_Chr_001	393046	394743	+	1697	1
Gene_000179	Random_Chr_001	395138	397536	+	2398	144
Gene_000180	Random_Chr_001	397782	400681	+	2899	216
Gene_000181	Random_Chr_001	400771	402624	+	1853	1075
Gene_000182	Random_Chr_001	402626	404297	-	1671	137
Gene_000183	Random_Chr_001	405149	405832	+	683	3
Gene_000184	Random_Chr_001	405966	407201	-	1235	1008
Gene_000185	Random_Chr_001	407203	409960	+	2757	1684.5
Gene_000186	Random_Chr_001	410615	411114	+	499	1
Gene_000187	Random_Chr_001	411340	411832	-	492	199
Gene_000188	Random_Chr_001	412295	413078	+	783	992
Gene_000189	Random_Chr_001	413087	413740	-	653	13883
Gene_000190	Random_Chr_001	413853	414284	-	431	251
Gene_000191	Random_Chr_001	415062	416376	-	1314	0
Gene_000192	Random_Chr_001	416677	419752	+	3075	3088
Gene_000193	Random_Chr_001	419754	422045	+	2291	1707
Gene_000194	Random_Chr_001	422105	424342	-	2237	5092
Gene_000195	Random_Chr_001	424743	425891	-	1148	4
Gene_000196	Random_Chr_001	426236	427035	-	799	0
Gene_000197	Random_Chr_001	427341	428165	-	824	1
Gene_000198	Random_Chr_001	428378	429227	-	849	16
Gene_000199	Random_Chr_001	429659	429994	+	335	20
Gene_000200	Random_Chr_001	430217	431726	-	1509	472
Gene_000201	Random_Chr_001	433275	434144	+	869	396
Gene_000202	Random_Chr_001	434178	435234	-	1056	7382
Gene_000203	Random_Chr_001	436048	436260	-	212	0
Gene_000204	Random_Chr_001	436484	436663	-	179	1
Gene_000205	Random_Chr_001	436849	437798	-	949	954
Gene_000206	Random_Chr_001	437800	440528	-	2728	2411
Gene_000207	Random_Chr_001	440821	441768	-	947	40
Gene_000208	Random_Chr_001	441817	442530	-	713	414
Gene_000209	Random_Chr_001	442599	443672	-	1073	330
Gene_000210	Random_Chr_001	443888	444277	+	389	158
Gene_000211	Random_Chr_001	444279	445787	-	1508	2055
Gene_000212	Random_Chr_001	445996	448200	-	2204	1779
Gene_000213	Random_Chr_001	448630	449700	+	1070	941.5
Gene_000214	Random_Chr_001	449702	451510	-	1808	3952
Gene_000215	Random_Chr_001	452066	453619	+	1553	2032
Gene_000216	Random_Chr_001	454244	454775	-	531	822
Gene_000217	Random_Chr_001	454907	455856	-	949	5045
Gene_000218	Random_Chr_001	455947	456692	+	745	212
Gene_000219	Random_Chr_001	456789	457312	-	523	924
Gene_000220	Random_Chr_001	457885	459146	+	1261	1622
Gene_000221	Random_Chr_001	459998	461155	-	1157	2559
Gene_000222	Random_Chr_001	461590	464411	+	2821	1683
Gene_000223	Random_Chr_001	464414	466131	+	1717	2291
Gene_000224	Random_Chr_001	466133	468145	-	2012	1273
Gene_000225	Random_Chr_001	468444	468646	+	202	0
Gene_000226	Random_Chr_001	468723	469047	+	324	3
Gene_000227	Random_Chr_001	470166	470738	+	572	4
Gene_000228	Random_Chr_001	471337	472419	+	1082	271
Gene_000229	Random_Chr_001	472707	473432	+	725	1171
Gene_000230	Random_Chr_001	473504	474514	-	1010	433
Gene_000231	Random_Chr_001	474737	476462	+	1725	2398
Gene_000232	Random_Chr_001	476741	477170	+	429	298
Gene_000233	Random_Chr_001	477172	478100	+	928	840
Gene_000234	Random_Chr_001	478153	478416	-	263	370
Gene_000235	Random_Chr_001	479228	481336	-	2108	511
Gene_000236	Random_Chr_001	483338	486423	+	3085	1301
Gene_000237	Random_Chr_001	486425	486735	+	310	71
Gene_000238	Random_Chr_001	487077	488033	+	956	4
Gene_000239	Random_Chr_001	488191	488964	-	773	4
Gene_000240	Random_Chr_001	489262	490232	+	970	9
Gene_000241	Random_Chr_001	490700	491607	+	907	37
Gene_000242	Random_Chr_001	491679	492727	-	1048	1042
Gene_000243	Random_Chr_001	492918	493202	+	284	28
Gene_000244	Random_Chr_001	493589	495208	+	1619	394
Gene_000245	Random_Chr_001	495286	498324	-	3038	170
Gene_000246	Random_Chr_001	498428	499924	-	1496	58
Gene_000247	Random_Chr_001	500554	501225	+	671	412
Gene_000248	Random_Chr_001	501329	502697	-	1368	427
Gene_000249	Random_Chr_001	503071	504568	+	1497	819
Gene_000250	Random_Chr_001	506465	512445	+	5980	163
Gene_000251	Random_Chr_001	512554	513059	-	505	3
Gene_000252	Random_Chr_001	513789	514709	+	920	2
Gene_000253	Random_Chr_001	514985	515698	+	713	13084
Gene_000254	Random_Chr_001	516328	516925	+	597	143
Gene_000255	Random_Chr_001	516977	517288	+	311	38
Gene_000256	Random_Chr_001	517559	519100	+	1541	1106
Gene_000257	Random_Chr_001	519206	524810	-	5604	1049
Gene_000258	Random_Chr_001	524886	525383	-	497	96
Gene_000259	Random_Chr_001	527022	527533	+	511	639
Gene_000260	Random_Chr_001	527616	529663	-	2047	173
Gene_000261	Random_Chr_001	530788	531411	+	623	693
Gene_000262	Random_Chr_001	531705	532664	+	959	665
Gene_000263	Random_Chr_001	532872	533999	+	1127	3574
Gene_000264	Random_Chr_001	534924	535824	+	900	1228
Gene_000265	Random_Chr_001	535939	538337	+	2398	1093
Gene_000266	Random_Chr_001	538962	540755	+	1793	673
Gene_000267	Random_Chr_001	540762	542276	-	1514	671
Gene_000268	Random_Chr_001	542688	549013	+	6325	167
Gene_000269	Random_Chr_001	549227	550815	+	1588	1085
Gene_000270	Random_Chr_001	550954	552111	+	1157	1726
Gene_000271	Random_Chr_001	552353	553339	+	986	5
Gene_000272	Random_Chr_001	553398	554526	-	1128	415
Gene_000273	Random_Chr_001	554585	556496	+	1911	900
Gene_000274	Random_Chr_001	556540	558045	+	1505	624
Gene_000275	Random_Chr_001	558293	558715	+	422	7809
Gene_000276	Random_Chr_001	558793	559155	-	362	640
Gene_000277	Random_Chr_001	559157	560019	-	862	1345
Gene_000278	Random_Chr_001	560220	562600	-	2380	420
Gene_000279	Random_Chr_001	564419	565656	-	1237	671
Gene_000280	Random_Chr_001	566436	567116	+	680	671
Gene_000281	Random_Chr_001	567287	568630	+	1343	3620
Gene_000282	Random_Chr_001	569081	570207	+	1126	351
Gene_000283	Random_Chr_001	571310	573180	+	1870	4796
Gene_000284	Random_Chr_001	573267	573670	-	403	779
Gene_000285	Random_Chr_001	574594	574869	-	275	29
Gene_000286	Random_Chr_001	575016	576647	+	1631	1467
Gene_000287	Random_Chr_001	577443	578097	+	654	1
Gene_000288	Random_Chr_001	578242	578781	+	539	498
Gene_000289	Random_Chr_001	578832	580904	-	2072	497
Gene_000290	Random_Chr_001	581201	582693	-	1492	6145
Gene_000291	Random_Chr_001	583686	585054	-	1368	1375
Gene_000292	Random_Chr_001	585261	585989	+	728	96
Gene_000293	Random_Chr_001	587315	588550	+	1235	986
Gene_000294	Random_Chr_001	588717	589457	+	740	1
Gene_000295	Random_Chr_001	589648	591098	+	1450	20
Gene_000296	Random_Chr_001	591100	591940	+	840	105
Gene_000297	Random_Chr_001	591962	597069	-	5107	4653
Gene_000298	Random_Chr_001	597764	599208	+	1444	4241
Gene_000299	Random_Chr_001	599210	600008	-	798	77
Gene_000300	Random_Chr_001	601344	605429	+	4085	1107.5
Gene_000301	Random_Chr_001	605874	608260	+	2386	759
Gene_000302	Random_Chr_001	610741	611310	+	569	297
Gene_000303	Random_Chr_001	611483	613385	+	1902	1194
Gene_000304	Random_Chr_001	613391	613949	-	558	83
Gene_000305	Random_Chr_001	614112	615003	-	891	146
Gene_000306	Random_Chr_001	615354	615887	-	533	120
Gene_000307	Random_Chr_001	616431	617399	+	968	335
Gene_000308	Random_Chr_001	617620	619686	+	2066	28
Gene_000309	Random_Chr_001	619804	625501	-	5697	43
Gene_000310	Random_Chr_001	625693	627111	-	1418	1540
Gene_000311	Random_Chr_001	627276	628345	+	1069	757
Gene_000312	Random_Chr_001	628740	631737	+	2997	5583
Gene_000313	Random_Chr_001	631934	633276	+	1342	2496
Gene_000314	Random_Chr_001	633922	635775	-	1853	237
Gene_000315	Random_Chr_001	636193	637548	+	1355	1192
Gene_000316	Random_Chr_001	637706	638996	+	1290	976
Gene_000317	Random_Chr_001	639000	639738	-	738	486
Gene_000318	Random_Chr_001	640192	641497	-	1305	1421
Gene_000319	Random_Chr_001	642017	642502	+	485	765
Gene_000320	Random_Chr_001	642567	644160	-	1593	2906
Gene_000321	Random_Chr_001	644576	646081	+	1505	4636
Gene_000322	Random_Chr_001	646414	648412	-	1998	767
Gene_000323	Random_Chr_001	648897	649194	+	297	201
Gene_000324	Random_Chr_001	649409	651342	-	1933	2543
Gene_000325	Random_Chr_001	652227	653093	-	866	863
Gene_000326	Random_Chr_001	653441	654682	+	1241	1635
Gene_000327	Random_Chr_001	655687	656627	-	940	1442
Gene_000328	Random_Chr_001	656926	658460	-	1534	937
Gene_000329	Random_Chr_001	658705	659234	-	529	506
Gene_000330	Random_Chr_001	659886	661122	+	1236	175
Gene_000331	Random_Chr_001	661310	669592	-	8282	5876
Gene_000332	Random_Chr_001	670033	672292	+	2259	221
Gene_000333	Random_Chr_001	673177	675347	-	2170	163
Gene_000334	Random_Chr_001	675609	677138	-	1529	2695
Gene_000335	Random_Chr_001	677448	680117	+	2669	3047
Gene_000336	Random_Chr_001	683452	683826	+	374	137
Gene_000337	Random_Chr_001	684658	687809	-	3151	1704
Gene_000338	Random_Chr_001	688027	688584	-	557	129
Gene_000339	Random_Chr_001	688764	690763	+	1999	1109.67
Gene_000340	Random_Chr_001	690849	692362	-	1513	12
Gene_000341	Random_Chr_001	692861	693304	-	443	6
Gene_000342	Random_Chr_001	693774	695093	-	1319	1090
Gene_000343	Random_Chr_001	695487	695913	-	426	297
Gene_000344	Random_Chr_001	696252	696731	+	479	1358
Gene_000345	Random_Chr_001	696898	700043	+	3145	1230
Gene_000346	Random_Chr_001	700216	700494	-	278	301
Gene_000347	Random_Chr_001	701244	703221	+	1977	1546
Gene_000348	Random_Chr_001	703314	703888	-	574	1127
Gene_000349	Random_Chr_001	704082	705692	-	1610	194
Gene_000350	Random_Chr_001	706360	707290	-	930	4971
Gene_000351	Random_Chr_001	707627	708523	+	896	2302
Gene_000352	Random_Chr_001	708580	708983	-	403	133
Gene_000353	Random_Chr_001	710015	710389	-	374	241
Gene_000354	Random_Chr_001	710462	711328	-	866	363
Gene_000355	Random_Chr_001	711590	712116	+	526	134
Gene_000356	Random_Chr_001	712250	712761	+	511	841
Gene_000357	Random_Chr_001	713387	714736	+	1349	511
Gene_000358	Random_Chr_001	714791	717194	-	2403	619
Gene_000359	Random_Chr_001	717979	732444	+	14465	1532
Gene_000360	Random_Chr_001	732652	735425	-	2773	46
Gene_000361	Random_Chr_001	735819	738795	-	2976	246
Gene_000362	Random_Chr_001	739570	740883	-	1313	44
Gene_000363	Random_Chr_001	741030	742808	+	1778	9
Gene_000364	Random_Chr_001	743033	744939	+	1906	48
Gene_000365	Random_Chr_001	744999	745874	-	875	5120
Gene_000366	Random_Chr_001	746125	746708	+	583	102
Gene_000367	Random_Chr_001	747946	750032	-	2086	111
Gene_000368	Random_Chr_001	750887	752012	+	1125	573
Gene_000369	Random_Chr_001	753804	754812	+	1008	1754
Gene_000370	Random_Chr_001	755294	756927	+	1633	7835
Gene_000371	Random_Chr_001	756975	761721	-	4746	4280
Gene_000372	Random_Chr_001	764676	766434	-	1758	9
Gene_000373	Random_Chr_001	766525	769186	-	2661	1442
Gene_000374	Random_Chr_001	769379	770410	+	1031	38
Gene_000375	Random_Chr_001	770950	775051	+	4101	135
Gene_000376	Random_Chr_001	775296	776040	-	744	1646
Gene_000377	Random_Chr_001	776088	778143	-	2055	3429
Gene_000378	Random_Chr_001	778538	781541	+	3003	72
Gene_000379	Random_Chr_001	781691	782339	-	648	291
Gene_000380	Random_Chr_001	783183	784994	-	1811	379
Gene_000381	Random_Chr_001	785239	785897	+	658	136
Gene_000382	Random_Chr_001	786029	789553	+	3524	853
Gene_000383	Random_Chr_001	789654	791143	-	1489	1
Gene_000384	Random_Chr_001	791432	792933	-	1501	25
Gene_000385	Random_Chr_001	793145	794618	-	1473	10
Gene_000386	Random_Chr_001	794931	796895	+	1964	88
Gene_000387	Random_Chr_001	796949	798532	-	1583	469
Gene_000388	Random_Chr_001	800045	800332	-	287	374
Gene_000389	Random_Chr_001	801020	802564	+	1544	197
Gene_000390	Random_Chr_001	802905	803677	+	772	13
Gene_000391	Random_Chr_001	803839	804219	-	380	167
Gene_000392	Random_Chr_001	804221	804743	-	522	205
Gene_000393	Random_Chr_001	804930	805481	+	551	25
Gene_000394	Random_Chr_001	806603	807579	-	976	771
Gene_000395	Random_Chr_001	808125	809788	-	1663	279.25
Gene_000396	Random_Chr_001	810231	810721	-	490	163
Gene_000397	Random_Chr_001	810894	814296	+	3402	4420
Gene_000398	Random_Chr_001	814454	815457	+	1003	66
Gene_000399	Random_Chr_001	815621	818084	+	2463	19
Gene_000400	Random_Chr_001	819711	823525	+	3814	2182
Gene_000401	Random_Chr_001	823823	829684	+	5861	2337
Gene_000402	Random_Chr_001	829882	831043	+	1161	599
Gene_000403	Random_Chr_001	831175	832518	+	1343	55
Gene_000404	Random_Chr_001	832589	832962	-	373	31
Gene_000405	Random_Chr_001	834061	836013	+	1952	10144
Gene_000406	Random_Chr_001	836052	836651	-	599	17
Gene_000407	Random_Chr_001	837847	838440	+	593	10
Gene_000408	Random_Chr_001	838566	840011	+	1445	41
Gene_000409	Random_Chr_001	840106	841251	+	1145	516
Gene_000410	Random_Chr_001	841389	841860	+	471	386
Gene_000411	Random_Chr_001	841922	842913	-	991	0
Gene_000412	Random_Chr_001	843026	844267	-	1241	1270
Gene_000413	Random_Chr_001	844528	844948	+	420	814
Gene_000414	Random_Chr_001	845503	845883	+	380	494
Gene_000415	Random_Chr_001	846447	846520	-	73	3
Gene_000416	Random_Chr_001	846706	846779	-	73	2.33
Gene_000417	Random_Chr_001	846967	847040	-	73	2.33
Gene_000418	Random_Chr_001	847226	847299	-	73	0.33
Gene_000419	Random_Chr_001	848054	848127	-	73	7
Gene_000420	Random_Chr_001	848284	853201	+	4917	1176
Gene_000421	Random_Chr_001	853275	855053	-	1778	101
Gene_000422	Random_Chr_001	855427	857525	+	2098	5
Gene_000423	Random_Chr_001	857747	859359	-	1612	964
Gene_000424	Random_Chr_001	859361	859643	+	282	258
Gene_000425	Random_Chr_001	859945	861512	+	1567	1304
Gene_000426	Random_Chr_001	861601	862655	-	1054	278
Gene_000427	Random_Chr_001	862855	863260	+	405	6
Gene_000428	Random_Chr_001	863417	863955	+	538	732
Gene_000429	Random_Chr_001	864005	864355	+	350	590
Gene_000430	Random_Chr_001	864470	865688	-	1218	1251
Gene_000431	Random_Chr_001	865734	866694	+	960	160
Gene_000432	Random_Chr_001	867786	868082	+	296	49
Gene_000433	Random_Chr_001	868231	869495	+	1264	961
Gene_000434	Random_Chr_001	870348	870995	-	647	211
Gene_000435	Random_Chr_001	871038	871868	+	830	166
Gene_000436	Random_Chr_001	872078	878231	+	6153	1376
Gene_000437	Random_Chr_001	878233	879525	-	1292	944
Gene_000438	Random_Chr_001	880206	880703	+	497	0
Gene_000439	Random_Chr_001	880968	881693	+	725	2
Gene_000440	Random_Chr_001	881856	882149	+	293	11
Gene_000441	Random_Chr_001	882464	882820	+	356	214
Gene_000442	Random_Chr_001	882866	884012	-	1146	2522
Gene_000443	Random_Chr_001	884379	886641	+	2262	2463
Gene_000444	Random_Chr_001	886644	887652	-	1008	1356
Gene_000445	Random_Chr_001	888411	889451	-	1040	49
Gene_000446	Random_Chr_001	889668	890383	+	715	2346
Gene_000447	Random_Chr_001	890439	891458	-	1019	3013
Gene_000448	Random_Chr_001	891652	892341	-	689	2206
Gene_000449	Random_Chr_001	894934	896651	-	1717	29
Gene_000450	Random_Chr_001	896791	897352	-	561	587
Gene_000451	Random_Chr_001	897617	898946	+	1329	2680
Gene_000452	Random_Chr_001	898991	900539	-	1548	267
Gene_000453	Random_Chr_001	901208	902306	-	1098	508
Gene_000454	Random_Chr_001	903387	905023	-	1636	19
Gene_000455	Random_Chr_001	905605	906129	-	524	450
Gene_000456	Random_Chr_001	906682	908073	+	1391	115869
Gene_000457	Random_Chr_001	908878	909839	+	961	4
Gene_000458	Random_Chr_001	909960	910700	-	740	853
Gene_000459	Random_Chr_001	911092	912343	+	1251	917
Gene_000460	Random_Chr_001	912491	915218	+	2727	5831
Gene_000461	Random_Chr_001	916283	917225	+	942	35
Gene_000462	Random_Chr_001	917229	918181	-	952	1560
Gene_000463	Random_Chr_001	918448	919140	-	692	595
Gene_000464	Random_Chr_001	919385	920820	+	1435	1974
Gene_000465	Random_Chr_001	920844	923851	-	3007	2496.33
Gene_000466	Random_Chr_001	923955	925515	-	1560	1582
Gene_000467	Random_Chr_001	925692	926929	-	1237	15
Gene_000468	Random_Chr_001	928759	929047	-	288	177
Gene_000469	Random_Chr_001	929134	931560	-	2426	780
Gene_000470	Random_Chr_001	931605	933042	+	1437	125
Gene_000471	Random_Chr_001	934616	935230	-	614	1090
Gene_000472	Random_Chr_001	935513	938541	+	3028	846
Gene_000473	Random_Chr_001	938748	939076	-	328	18
Gene_000474	Random_Chr_001	939749	941315	+	1566	2655
Gene_000475	Random_Chr_001	941639	942558	+	919	878
Gene_000476	Random_Chr_001	942882	943510	+	628	319
Gene_000477	Random_Chr_001	944049	945877	+	1828	67
Gene_000478	Random_Chr_001	946501	946909	+	408	2
Gene_000479	Random_Chr_001	947080	947646	+	566	4
Gene_000480	Random_Chr_001	947757	948808	+	1051	9
Gene_000481	Random_Chr_001	948862	949376	-	514	355
