SeqName	Description
Gene_000096	hypothetical protein pbra 003803
Gene_000097	gucd1 isoform x1
Gene_000098	tata-binding-associated factor 172-like
Gene_000099	splicing factor spf30
Gene_000100	heat shock sti
Gene_000102	hypothetical protein pbra 003798
Gene_000103	rna helicase
Gene_000105	hypothetical protein pbra 003796
Gene_000106	iki3 family
Gene_000107	coiled-coil domain-containing 51-like
Gene_000109	flagellar associated
Gene_000110	rho gtpase-activating 17
Gene_000111	c transferase
Gene_000112	hypothetical protein pbra 003790
Gene_000113	centrosomal of 120 kda-like
Gene_000114	mitochondrial import inner membrane translocase subunit tim21
Gene_000115	general transcription factor iii isoform
Gene_000117	hypothetical protein pbra 003786
Gene_000118	hypothetical protein pbra 003785
Gene_000119	hypothetical protein pbra 003784
Gene_000120	hypothetical protein pbra 003783
Gene_000121	hypothetical protein pbra 003782
Gene_000122	molybdopterin synthase catalytic subunit-like
Gene_000123	hypothetical protein bvrb 022410; partial
Gene_000125	hypothetical protein pbra 003780
Gene_000126	kinesin family member 3b motor
Gene_000127	like subfamily c member 21
Gene_000128	u4 u6 small nuclear ribonucleo prp31
Gene_000129	hypothetical protein pbra 003777
Gene_000131	sap domain
Gene_000132	mitochondrial mpt family isoform 2
Gene_000133	zinc finger c3h1 type-like 1
Gene_000134	calcium calmodulin-dependent kinase kinase 1-like isoform x2
Gene_000135	phospholipid transporter
Gene_000136	phospholipid-transporting atpase ib-like isoform x2 [orbicella faveolata]
Gene_000137	solute carrier family 44 member 2
Gene_000138	hypothetical protein pbra 003768
Gene_000139	vacuolar-sorting-associated 36
Gene_000140	nucleolar 14
Gene_000141	hypothetical protein pbra 003765
Gene_000142	hypothetical protein pbra 003764
Gene_000143	tetratricopeptide repeat 26
Gene_000145	formin-homology 2 domain-containing
Gene_000146	transcriptional regulatory
Gene_000147	paired amphipathic helix sin3a
Gene_000148	transport particle component
Gene_000149	hypothetical protein pbra 007470
Gene_000150	glycoside hydrolase family 16
Gene_000152	carbohydrate-binding module family 18
Gene_000153	hypothetical protein pbra 003758
Gene_000154	septum formation maf
Gene_000155	hypothetical protein pbra 003756
Gene_000156	hypothetical protein pbra 003755
Gene_000157	60s ribosomal l35
Gene_000158	short-chain dehydrogenase
Gene_000159	small nuclear ribo f
Gene_000160	hypothetical protein pbra 003751
Gene_000161	gamma-aminobutyric acid type b receptor subunit 2
Gene_000162	hypothetical protein pbra 003751
Gene_000163	g-coupled receptor kinase 7b-like
Gene_000164	5-oxoprolinase isoform x3
Gene_000165	trna (cytidine(32) guanosine(34)-2-o)-methyltransferase
Gene_000166	huntingtin interacting k
Gene_000167	hypothetical protein pbra 003745
Gene_000168	hypothetical protein pbra 003745
Gene_000169	pci domain-containing 2
Gene_000170	glycoside hydrolase
Gene_000171	probable proteasome inhibitor
Gene_000172	chromosome-associated kinesin kif4a
Gene_000173	superkiller viralicidic activity 2-like 2
Gene_000174	hypothetical protein pbra 003739
Gene_000175	dna repair
Gene_000176	hypothetical protein pbra 003737
Gene_000177	retrotransposable element tf2 155 kda type 1-like
Gene_000178	mfs-type transporter slc18b1-like isoform x1
Gene_000179	adenylate guanylate cyclase
Gene_000180	adenylate cyclase
Gene_000181	hypothetical protein pbra 003733
Gene_000182	domain containing
Gene_000183	ank repeat-containing
Gene_000184	serine threonine kinase
Gene_000185	hypothetical protein pbra 003729
Gene_000186	cyclic nucleotide-binding domain-containing
Gene_000188	dihydrolipoyllysine-residue succinyltransferase
Gene_000189	60s ribosomal l11-1
Gene_000190	bola ddb g0274169
Gene_000192	hypothetical protein bvrb 030650; partial
Gene_000193	probable methyltransferase tarbp1
Gene_000194	pyruvate kinase
Gene_000195	hypothetical protein pbra 003723
Gene_000196	hypothetical protein pbra 003720
Gene_000197	transmembrane (macronuclear)
Gene_000198	transmembrane (macronuclear)
Gene_000199	ubiquitin-conjugating enzyme e2 q2-like isoform x1
Gene_000200	sin3 histone deacetylase corepressor complex component sds3
Gene_000201	omega-amidase nit2
Gene_000202	nadh-cytochrome b5 reductase 3-like
Gene_000205	hypothetical protein pbra 003713
Gene_000206	ubiquitin conjugation factor e4
Gene_000208	hypothetical protein pbra 003712
Gene_000209	leucine zipper transcription factor 1 isoform x1
Gene_000210	mitochondrial distribution and morphology
Gene_000211	hypothetical protein pbra 003709
Gene_000212	transmembrane and coiled-coil domain-containing 4-like isoform x2
Gene_000213	glutamine cyclotransferase
Gene_000214	adaptor complex 1 subunit mu
Gene_000215	hypothetical protein pbra 003705
Gene_000216	thioredoxin h-type
Gene_000217	small monomeric gtpase
Gene_000219	hypothetical protein pbra 003702
Gene_000220	rhomboid 20
Gene_000221	hypothetical protein pbra 003699
Gene_000222	conserved oligomeric golgi complex subunit 7 isoform x1
Gene_000223	sucrose gph family
Gene_000224	ribosome biogenesis gtpase
Gene_000225	hypothetical protein pbra 003695
Gene_000226	duf2235 domain-containing
Gene_000227	hypothetical protein pbra 003695
Gene_000228	hypothetical protein pbra 004237
Gene_000229	rac-like gtp-binding 5
Gene_000230	hypothetical protein pbra 003693
Gene_000231	coiled-coil domain-containing 82-like
Gene_000232	hypothetical protein pbra 003691
Gene_000233	hypothetical protein pbra 003691
Gene_000234	adl113cp [eremothecium gossypii atcc 10895]
Gene_000235	hypothetical protein pbra 003688
Gene_000236	cap-specific mrna (nucleoside-2-o-)-methyltransferase 2
Gene_000238	hypothetical protein pbra 003686
Gene_000239	hypothetical protein pbra 003685
Gene_000240	hypothetical protein pbra 003684
Gene_000241	hypothetical protein pbra 003683
Gene_000242	lysosomal amino acid transporter 1
Gene_000243	hypothetical protein bvrb 033450; partial
Gene_000244	hypothetical protein pbra 003681
Gene_000245	leucine-rich repeat and guanylate kinase domain-containing
Gene_000246	cell division cycle cofactor of apc complex
Gene_000247	charged multivesicular body 1b
Gene_000248	hypothetical protein pbra 003677
Gene_000250	myosin xi-2
Gene_000251	hypothetical protein pbra 003675
Gene_000252	hypothetical protein pbra 003674
Gene_000253	signal recognition particle
Gene_000254	t-snare coiled-coil domain family
Gene_000255	hypothetical protein pbra 003672
Gene_000256	phosphoribosylpyrophosphate synthetase
Gene_000257	atp-binding cassette (abc) superfamily
Gene_000258	hypothetical protein pbra 003670
Gene_000259	hypothetical protein pbra 003669
Gene_000260	chitin synthase d
Gene_000261	hemin receptor
Gene_000262	hypothetical protein pbra 003665
Gene_000263	ffd and tfg box motifscontaining
Gene_000264	protease [ruegeria marisrubri]
Gene_000265	xenotropic and polytropic retrovirus receptor 1
Gene_000266	hypothetical protein pbra 003660
Gene_000267	cmgc mapk kinase
Gene_000268	transmembrane flj37396
Gene_000269	protease do-like mitochondrial
Gene_000270	hypothetical protein pbra 003656
Gene_000272	c transferase
Gene_000273	swi snf-related matrix-associated actin-dependent regulator of chromatin subfamily a member 3-like 3 isoform x1
Gene_000274	swi snf-related matrix-associated actin-dependent regulator of chromatin subfamily a member 3-like 3 isoform x1
Gene_000275	60s ribosomal l23
Gene_000276	mitochondrial inner membrane oxa1l
Gene_000277	mitochondrial inner membrane oxa1-like
Gene_000278	kelch repeat-containing s
Gene_000279	camp-dependent kinase catalytic
Gene_000280	hypothetical protein pbra 003649
Gene_000281	26s proteasome non-atpase regulatory subunit 4 homolog isoform x2
Gene_000282	leucine-rich repeat-containing
Gene_000283	isocitrate lyase
Gene_000285	hypothetical protein pbra 003643
Gene_000286	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase mitochondrial
Gene_000287	hypothetical protein pbra 003640
Gene_000288	transcription initiation factor tfiid subunit 11-like isoform x1
Gene_000289	mfs transporter
Gene_000290	hypothetical protein pbra 003637
Gene_000291	phosphatase 2c
Gene_000292	peroxiredoxin
Gene_000293	pre-mrna-splicing factor cwc25
Gene_000294	duf2306 domain-containing
Gene_000295	duf2306 domain-containing
Gene_000296	duf2306 domain-containing
Gene_000297	importin-4 isoform x2
Gene_000298	fumarylacetoacetase isoform x1
Gene_000299	hypothetical protein pbra 003627
Gene_000300	hypothetical protein pbra 003626
Gene_000301	rotatin isoform x3
Gene_000302	hypothetical protein pbra 001394
Gene_000303	diacylglycerol o-acyltransferase 1-like isoform x1
Gene_000304	hypothetical protein pbra 001396
Gene_000305	duf2254 domain-containing
Gene_000306	hypothetical protein pbra 001396
Gene_000307	hypothetical protein pbra 001397
Gene_000308	hypothetical protein pbra 001398
Gene_000309	voltage-gated ion channel
Gene_000310	bystin
Gene_000311	hypothetical protein pbra 001400
Gene_000312	alpha;alpha-trehalose-phosphate synthase [udp-forming] 5
Gene_000313	hypothetical protein pbra 001403
Gene_000314	copper oxidase
Gene_000315	u3 small nucleolar rna-interacting
Gene_000316	cell cycle control
Gene_000317	hypothetical protein pbra 001407
Gene_000318	telomeric repeat-binding factor 2-interacting 1 isoform x2
Gene_000319	v-type f subunit
Gene_000321	mitochondrial-processing peptidase subunit alpha-like
Gene_000322	nadph-dependent diflavin oxidoreductase 1-like
Gene_000323	general transcription factor iih subunit 5
Gene_000324	glycylpeptide n-tetradecanoyltransferase
Gene_000325	hypothetical protein pbra 001417
Gene_000326	protoheme ix farnesyltransferase
Gene_000327	hypothetical protein pbra 001419
Gene_000328	actin binding
Gene_000329	hypothetical protein pbra 001421
Gene_000330	u-box domain-containing 51
Gene_000331	centrosomal of 290 kda isoform x5
Gene_000332	regulator of g signaling superfamily
Gene_000333	mitogen activated kinase 7
Gene_000334	isobutyryl-mitochondrial
Gene_000335	vesicle coat complex copii subunit sec24 subunit sfb2
Gene_000337	swi snf-related matrix-associated actin-dependent regulator of chromatin subfamily a member 3-like 3
Gene_000338	serine protease inhibitor dipetalogastin-like isoform x2
Gene_000339	alpha beta-hydrolase
Gene_000340	dual specificity phosphatase cdc14a-like
Gene_000341	hypothetical protein pbra 001433
Gene_000342	embryogenesis-associated emb8 isoform x1
Gene_000343	hypothetical protein pbra 001435
Gene_000344	nex18 symbiotically induced
Gene_000345	ubiquitin carboxyl-terminal hydrolase 15 isoform x4
Gene_000346	hypothetical protein pbra 001438
Gene_000347	hypothetical protein pbra 001439
Gene_000348	2-iminobutanoate 2-iminopropanoate deaminase
Gene_000349	dynein regulatory complex subunit 3-like
Gene_000350	prohibitin-mitochondrial
Gene_000351	peroxisomal membrane 11
Gene_000352	hypothetical protein pbra 001444
Gene_000353	v-type proton atpase subunit e1-like
Gene_000354	uncharacterized zinc finger cchc domain-containing at4g19190
Gene_000355	vesicle transport
Gene_000356	pre-mrna-splicing factor spf27 homolog
Gene_000357	polyadenylate-binding-interacting 7
Gene_000358	kinesin heavy
Gene_000359	guanylate cyclase
Gene_000360	hypothetical protein pbra 001452; partial
Gene_000361	glucose sorbosone dehydrogenase
Gene_000363	hypothetical protein pbra 001453
Gene_000364	hypothetical protein pbra 001453
Gene_000365	hypothetical protein pbra 001454
Gene_000366	hypothetical protein pbra 001455
Gene_000367	ca2 :cation antiporter ( ) family
Gene_000368	methyltransferase c9orf114
Gene_000369	zinc-finger lsd1
Gene_000370	nucleosome binding (nhp6a)
Gene_000371	hypothetical protein pbra 001460
Gene_000373	phosphatidylethanolamine n-methyltransferase
Gene_000374	alpha beta hydrolase
Gene_000375	hypothetical protein pbra 001464
Gene_000376	amp-dependent synthetase ligase
Gene_000377	long-chain-fatty-acid-ligase acsbg2-like isoform x2
Gene_000378	swi5-dependent recombination dna repair 1
Gene_000379	rna polymerase ii transcriptional coactivator kiwi-like
Gene_000380	rab9 effector with kelch motifs-like
Gene_000381	ribosomal-alanine n-acetyltransferase
Gene_000382	duf4804 domain-containing
Gene_000383	hypothetical protein pbra 001472
Gene_000384	hypothetical protein pbra 001473
Gene_000385	hypothetical protein pbra 001474
Gene_000386	dna mismatch repair
Gene_000387	major facilitator family
Gene_000388	hypothetical protein pbra 001477
Gene_000389	chromate transporter
Gene_000390	hypothetical protein pbra 001479
Gene_000391	gtp cyclohydrolase i
Gene_000392	gtp cyclohydrolase i
Gene_000393	hypothetical protein pbra 001481
Gene_000395	ankyrin repeat domain-containing
Gene_000396	mitochondrial zinc maintenance mitochondrial
Gene_000397	dna mismatch repair msh2
Gene_000398	sf-assemblin
Gene_000399	cilia- and flagella-associated 91
Gene_000400	hypothetical protein pbra 001489
Gene_000401	dedicator of cytokinesis 4
Gene_000402	cyclin-t1-5-like
Gene_000404	hypothetical protein pbra 001493
Gene_000405	[micromonas commoda]
Gene_000406	e3 ubiquitin-ligase ttc3 isoform x2
Gene_000407	hypothetical protein pbra 001496
Gene_000408	hypothetical protein pbra 001497
Gene_000409	wd repeat domain
Gene_000410	nuclear transport factor 2 (ntf2) domain containing
Gene_000411	hypothetical protein pbra 001500
Gene_000412	duf185-domain-containing [wallemia mellicola cbs ]
Gene_000413	u6 snrna-associated sm lsm2
Gene_000414	hypothetical protein pbra 001503
Gene_000420	dna polymerase zeta catalytic subunit
Gene_000421	fad-binding oxidoreductase
Gene_000422	hypothetical protein pbra 001506
Gene_000423	hypothetical protein pbra 001507
Gene_000424	dynein light chain roadblock-type 2
Gene_000425	dnaj homolog
Gene_000426	4-phosphopantetheinyl transferase
Gene_000427	hypothetical protein pbra 001511
Gene_000428	ubiquinone biosynthesis coq9
Gene_000429	rpsu-divergently transcribed variant
Gene_000430	swi snf-related matrix-associated actin-dependent regulator of chromatin subfamily b member 1-like
Gene_000432	hypothetical protein pbra 001516
Gene_000433	related to xap-5
Gene_000434	n-alpha-acetyltransferase 50-like
Gene_000435	release factor glutamine methyltransferase
Gene_000436	hypothetical protein pbra 001520
Gene_000437	t-complex 1 subunit beta
Gene_000438	transient-receptor-potential calcium channel
Gene_000439	hypothetical protein pbra 001524
Gene_000440	hypothetical protein pbra 001525
Gene_000442	dtw domain-containing
Gene_000443	trna (uracil-5-)-methyltransferase
Gene_000444	bidirectional sugar transporter sweet13-like
Gene_000445	hypothetical protein pbra 001529
Gene_000446	thioredoxin 1
Gene_000447	splicing factor u2af small subunit b
Gene_000448	30s ribosomal s6
Gene_000449	cilia- and flagella-associated 100-like
Gene_000450	signal recognition particle 14 kda-like
Gene_000451	myb-like dna-binding domain
Gene_000452	prolyl 4-hydroxylase alpha
Gene_000453	proly 4-hydroxylase
Gene_000455	hypothetical protein pbra 001539
Gene_000456	elongation factor alpha
Gene_000457	probable prolyl 4-hydroxylase 11 isoform x1
Gene_000458	thioredoxin domain-containing plp3b
Gene_000459	inorganic polyphosphate kinase
Gene_000460	horma domain-containing
Gene_000461	large conductance mechanosensitive channel
Gene_000462	hypothetical protein pbra 001546
Gene_000463	hypothetical protein pbra 001547
Gene_000464	homoserine dehydrogenase
Gene_000465	wd repeat-containing 26-like
Gene_000466	bud13 homolog isoform x1
Gene_000467	flagellar radial spoke 3 [micromonas commoda]
Gene_000468	hypothetical protein pbra 001553
Gene_000469	x-pro dipeptidyl-peptidase
Gene_000470	peptidyl-prolyl cis-trans isomerase-like 6
Gene_000471	50s ribosomal l27-like
Gene_000472	kinesin-ii 95 kda subunit-like
Gene_000474	casein kinase i
Gene_000475	hypothetical protein pbra 001559
Gene_000476	transport
Gene_000477	serine threonine-kinase orb6
Gene_000478	hypothetical protein pbra 001562
Gene_000479	hypothetical protein pbra 001562
Gene_000480	phosphatidylinositol 4-kinase gamma 7-like
Gene_000481	mediator of rna polymerase ii transcription subunit 21
Gene_000482	cytochrome c oxidase copper chaperone
Gene_000483	26s proteasome non-atpase regulatory subunit 11
Gene_000484	hypothetical protein pbra 001567
Gene_000485	glutaredoxin
Gene_000486	dna-binding jumonji rbp2 contains domain
Gene_000487	hypothetical protein pbra 001569
Gene_000488	hypothetical protein pbra 001570
Gene_000489	dnaj p58ipk homolog
Gene_000490	nad-dependent malic enzyme
Gene_000491	hypothetical protein pbra 001573
Gene_000492	hypothetical protein pbra 001573
Gene_000494	regulator of g-signaling 18
Gene_000495	hypothetical protein pbra 001575
Gene_000496	integrator complex subunit 11
Gene_000497	elmo domain-containing 3
Gene_000498	dynein heavy chain axonemal-like isoform x4
Gene_000500	serine arginine-rich splicing factor 2-like
Gene_000501	hypothetical protein pbra 001581
Gene_000502	synaptobrevin domain-containing
Gene_000503	lanc 2
Gene_000504	hypothetical protein pbra 001584
Gene_000507	ctp synthase
Gene_000508	hypothetical protein pbra 005500
Gene_000509	hypothetical protein pbra 001587
Gene_000510	hypothetical protein pbra 001588
Gene_000511	serine threonine-kinase ht1
Gene_000512	coiled-coil domain-containing 13
Gene_000513	rnase p subunit
Gene_000514	hypothetical protein pbra 001592
Gene_000515	voltage-gated hydrogen channel 1
Gene_000516	succinate dehydrogenase assembly factor mitochondrial
Gene_000517	carrier superfamily
Gene_000518	adenosine kinase
Gene_000519	hypothetical protein pbra 001598
Gene_000520	hypothetical protein pbra 001600
Gene_000521	serine threonine-phosphatase 2a regulatory subunit b subunit gamma-like
Gene_000522	actin-binding domain
Gene_000523	hypothetical protein pbra 001602
Gene_000524	hypothetical protein pbra 001602
Gene_000525	hypothetical protein pbra 001603
Gene_000526	alpha beta hydrolase
Gene_000527	nucleoporin nup43
Gene_000528	5-nucleotidase
Gene_000529	rna polymerase ii core subunit
Gene_000530	fidgetin 1
Gene_000531	ribonucleoside-diphosphate reductase small chain
Gene_000533	immediate early response 3-interacting 1
Gene_000534	trafficking particle complex ii-specific subunit 120
Gene_000536	nocturnin-like isoform x7
Gene_000537	hypothetical protein pbra 001612
Gene_000538	hypothetical protein pbra 001613
Gene_000539	54s ribosomal mitochondrial
Gene_000540	hypothetical protein pbra 001615
Gene_000541	hypothetical protein pbra 001616
Gene_000542	hypothetical protein pbra 001618
Gene_000543	tpr repeat
Gene_000544	small nuclear ribonucleo g
Gene_000545	alpha-mannosidase 2
Gene_000546	hypothetical protein pbra 001621
Gene_000547	phosphatidate cytidylyltransferase
Gene_000548	inositol pentakisphosphate 2-kinase
Gene_000549	synapse-associated 1-like isoform x1
Gene_000550	hypothetical protein pbra 001625
Gene_000551	hypothetical protein pbra 001625
Gene_000552	hypothetical protein pbra 001626
Gene_000553	hypothetical protein pbra 001626
Gene_000554	hypothetical protein pbra 001627
Gene_000555	phosphate:h+ symporter
Gene_000556	hypothetical protein pbra 001629
Gene_000557	hypothetical protein pbra 001630
Gene_000559	hypothetical protein pbra 001632
Gene_000560	isoleucine-trna ligase
Gene_000561	golgin candidate 4
Gene_000562	ribonuclease inhibitor
Gene_000563	hypothetical protein pbra 001635
Gene_000564	hypothetical protein pbra 001636
Gene_000565	dna polymerase kappa
Gene_000566	hypothetical protein pbra 001638
Gene_000567	tetratricopeptide repeat
Gene_000568	elongator complex 3
Gene_000569	hypothetical protein pbra 001641
Gene_000570	nad kinase 3
Gene_000571	rna-binding 8a-like
Gene_000572	coatomer subunit beta-1
Gene_000573	probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 4 isoform x2
Gene_000574	hypothetical protein pbra 001648
Gene_000575	hypothetical protein pbra 001648
Gene_000576	hypothetical protein pbra 001647
Gene_000577	hypothetical protein pbra 001650
Gene_000578	hsp20 alpha crystallin family
Gene_000579	[micromonas commoda]
Gene_000580	enoyl-hydratase
Gene_000581	hypothetical protein pbra 001654
Gene_000582	hypothetical protein pbra 001655
Gene_000583	hypothetical protein pbra 001656
Gene_000584	hypothetical protein pbra 001657
Gene_000585	hypothetical protein pbra 001658
Gene_000586	hypothetical protein pbra 001659
Gene_000587	hypothetical protein pbra 001660
Gene_000589	n-acetylglucosamine kinase
Gene_000590	n-acetyl-d-glucosamine kinase
Gene_000591	hypothetical protein bvrb 022380; partial
Gene_000592	hypothetical protein pbra 001664
Gene_000593	persulfide dioxygenase mitochondrial
Gene_000594	tricarboxylate transport mitochondrial-like
Gene_000595	hypothetical protein pbra 001666
Gene_000596	hypothetical protein pbra 001667
Gene_000597	hypothetical protein pbra 001668
Gene_000598	hypothetical protein pbra 001669
Gene_000599	hypothetical protein pbra 001670
Gene_000600	glutamine-fructose-6-phosphate transaminase (isomerizing)
Gene_000601	hypothetical protein pbra 001672
Gene_000602	hypothetical protein pbra 001673
Gene_000603	hypothetical protein pbra 001673
Gene_000604	f1f0 atp synthase subunit f
Gene_000605	hypothetical protein pbra 001674
Gene_000606	ubiquitin-conjugating enzyme catalytic (ubcc) domain
Gene_000607	trna-splicing endonuclease subunit sen15-like
Gene_000608	flagellar inner arm dynein light chain p28
Gene_000609	hypothetical protein pbra 001679
Gene_000610	glycoside hydrolase family 16
Gene_000611	cilia- and flagella-associated 70 isoform x1
Gene_000612	mon2 homolog isoform x4
Gene_000613	mon2 homolog isoform x1
Gene_000614	endosomal peripheral membrane
Gene_000615	voltage-gated ion channel (vic) superfamily
Gene_000616	glu leu phe val dehydrogenase
Gene_000617	glutamate nad(p)+
Gene_000618	dna topoisomerase 1 beta
Gene_000619	solute carrier family 25 member 44-like
Gene_000620	atp-dependent metalloprotease
Gene_000621	at-rich interactive domain-containing 3c
Gene_000622	achain crystal structure of engineered northeast structural genomics consortium target
Gene_000623	hypothetical protein bcr33draft 713850
Gene_000624	hypothetical protein bcr33draft 713850
Gene_000625	18s rrna biogenesis rcl1
Gene_000626	nucleosome-remodeling factor subunit nurf301 isoform x1
Gene_000627	rna polymerase ii-associated 3
Gene_000628	bag domain containing
Gene_000629	ccnc dicdi ame: full=cyclin-c
Gene_000630	hypothetical protein pbra 001693
Gene_000631	hypothetical protein pbra 001694
Gene_000632	ubiquitin domain-containing dsk2a-like
Gene_000633	vacuolar sorting-associated 13 family
Gene_000634	vacuolar sorting-associated 13
Gene_000635	preimplantation 3
Gene_000636	hypothetical protein pbra 001699
Gene_000637	chorismate mutase
Gene_000638	eukaryotic translation initiation factor 3 subunit e
Gene_000639	interferon-related developmental regulator 1-like
Gene_000641	mfs general substrate transporter
Gene_000642	serine carboxypeptidase-like
Gene_000643	fad-dependent oxidoreductase
Gene_000644	hypothetical protein pbra 001013; partial
Gene_000645	hypothetical protein pbra 001707; partial
Gene_000646	peptidase s15
Gene_000647	wd repeat-containing 82
Gene_000648	dna topoisomerase domain
Gene_000649	aspartyl-trna synthetase
Gene_000650	hypothetical protein pbra 001711
Gene_000651	sphingosine kinase
Gene_000652	transcription factor alpha beta subunit
Gene_000653	methyltransferase 5
Gene_000654	methyltransferase 5
Gene_000655	hypothetical protein pbra 001715
Gene_000656	hypothetical protein pbra 001716; partial
Gene_000657	riboflavin kinase
Gene_000658	solute carrier family 44 member 2
Gene_000659	chromosome segregation
Gene_000660	hsp20 alpha crystallin family
Gene_000661	gpn-loop gtpase 2
Gene_000662	hypothetical protein pbra 001722
Gene_000663	ring finger family 4
Gene_000664	predicted: uncharacterized protein loc104885705
Gene_000665	alanine-trna ligase
Gene_000666	ubiquitin carboxyl-terminal hydrolase 2
Gene_000667	transcription initiation factor tfiid subunit 12
Gene_000668	wd40 repeat
Gene_000669	geranylgeranyl transferase type-2 subunit beta isoform x1
Gene_000671	glutathione-disulfide reductase
Gene_000672	rna polymerase ii-associated 3
Gene_000673	vesicle transport v-snare 11 isoform x1
Gene_000674	nucleosome remodeling factor
Gene_000675	apoptosis inhibitor 5 api5
Gene_000676	transcriptional regulator of rna subunit-domain-containing
Gene_000677	hypothetical protein pbra 001737
Gene_000678	arachidonate 5-lipoxygenase
Gene_000680	upf0554 c2orf43
Gene_000681	erbb-3 binding protein 1-like
Gene_000682	hypothetical protein pbra 001742
Gene_000683	hypothetical protein pbra 001743
Gene_000684	gc-rich sequence dna-binding factor
Gene_000685	hypothetical protein pbra 001745
Gene_000686	hypothetical protein pbra 001745
Gene_000687	erythrocyte membrane-associated antigen
Gene_000689	diacylglycerol o-acyltransferase 2a
Gene_000690	transmembrane 9 superfamily member 1-like
Gene_000691	ring-h2 finger atl40-like
Gene_000692	probable e3 ubiquitin-ligase rnf217
Gene_000693	hypothetical protein pbra 001749
Gene_000694	ribonuclease p subunit p38
